기능,API Path,Exception,HTTP 메서드,Request,Response,우선순위
[인증] 회원가입,/api/auth/signup,"SignupException (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/SignupException%209842c844bb8782d1ab638195415731cf.md) ",POST,"SignupRequestDTO (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/SignupRequestDTO%206802c844bb8782d2aadf01b322dc784b.md) ","SignupResponseDTO (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/SignupResponseDTO%20c402c844bb878299ab6981c34e40e60d.md) ",시작 전
[인증] 로그인,/api/auth/login,LoginException (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/LoginException%206112c844bb878377b1c801c4fea4c640.md),POST,"LoginRequestDTO (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/LoginRequestDTO%206202c844bb8782aea8860108bdb5ab52.md) ","JwtTokenResponseDTO (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/JwtTokenResponseDTO%209fa2c844bb8783d3aba8011463b2f846.md) ",시작 전
[인증] 아이디 중복 확인,/api/auth/check-login-id?loginId={loginId},"CheckLoginIdException (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/CheckLoginIdException%208122c844bb878210ba51016a3b616307.md) ",GET,loginId,"CheckLoginIdResponseDTO (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/CheckLoginIdResponseDTO%20cf72c844bb87822390c181be1c48911e.md) ",시작 전
[인증] 로그아웃,/api/auth/logout,LogoutException (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/LogoutException%208a02c844bb8783e6bd0b81068a01adce.md),POST,Authorization,“로그아웃 성공”,시작 전
[온보딩] 소비 카테고리 조회,/api/categories/consumption,CategoryException (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/CategoryException%20e012c844bb8782719e8001a3a27abc44.md),GET,"Authorization ","ConsumptionCategoryListResponseDTO (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/ConsumptionCategoryListResponseDTO%2039a2c844bb878390a49a81e55d8a3179.md) ",시작 전
[온보딩] 온보딩 저장,/api/onboarding,"OnboardingException (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/OnboardingException%200152c844bb8783f5995681d0420acf00.md) ",POST,"OnboardingRequestDTO (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/OnboardingRequestDTO%205aa2c844bb8783dd889d011f2eb00341.md) ","OnboardingResponseDTO (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/OnboardingResponseDTO%205da2c844bb87821b9c490108c14f6a94.md) ",시작 전
[홈] 홈 화면 조회,/api/home,"HomeException (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/HomeException%20d1a2c844bb87827aa94101eb3c0d20c1.md) ",GET,Authorization,"HomeResponseDTO (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/HomeResponseDTO%20a6e2c844bb878363bdf201e189d9b76e.md) ",시작 전
[소비] 소비 등록,/api/expenses,"ExpenseCreateException (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/ExpenseCreateException%200e42c844bb878208bc5181d566795704.md) ",POST,"ExpenseCreateRequestDTO (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/ExpenseCreateRequestDTO%201f62c844bb87834aad43014535d2a328.md) ","ExpenseCreateResponseDTO (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/ExpenseCreateResponseDTO%20cc82c844bb8782aea379017c08c50a0c.md) ",시작 전
[소비] 소비 기록 수정,/api/expenses/{expenseId},"ExpenseUpdateException (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/ExpenseUpdateException%205db2c844bb8783d889ad814db5cb8995.md) ",PATCH,"ExpenseUpdateRequestDTO (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/ExpenseUpdateRequestDTO%20c312c844bb8783dd8eab81db9eeada14.md) ","ExpenseUpdateResponseDTO (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/ExpenseUpdateResponseDTO%200a12c844bb8782bc827f010ccb26b5c5.md) ",시작 전
[소비] 소비 기록 삭제,/api/expenses/{expenseId},"ExpenseDeleteException (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO%20(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/ExpenseDeleteException%20cce2c844bb8783728c4401809c08945e.md) ",DELETE,Authorization,"""소비 기록 삭제 성공""",시작 전
