이름,API 분류 태그,태그
,,
API Exception,,
API Response,,
,,
SignupRequestDTO,API Request,[인증] 회원가입
LoginRequestDTO,API Request,[인증] 로그인
SignupResponseDTO,API Response,[인증] 회원가입
CheckLoginIdResponseDTO,API Response,[인증] 아이디 중복 확인
ConsumptionCategoryListResponseDTO,API Response,[온보딩] 소비 카테고리 조회
OnboardingRequestDTO,API Request,[온보딩] 온보딩 저장
LoginException,API Exception,[인증] 로그인
ExpenseCreateRequestDTO,API Request,[소비] 소비 등록
CheckLoginIdException,API Exception,[인증] 아이디 중복 확인
ExpenseUpdateRequestDTO,API Request,[소비] 소비 기록 수정
LogoutException,API Exception,[인증] 로그아웃
MissionCompleteRequestDTO,API Request,[미션] 미션 완료
CategoryException,API Exception,[온보딩] 소비 카테고리 조회
JwtTokenResponseDTO,API Response,[인증] 로그인
OnboardingException,API Exception,[온보딩] 온보딩 저장
OnboardingResponseDTO,API Response,[온보딩] 온보딩 저장
HomeException,API Exception,[홈] 홈 화면 조회
HomeResponseDTO,API Response,[홈] 홈 화면 조회
ExpenseCreateException,API Exception,[소비] 소비 등록
ExpenseCreateResponseDTO,API Response,[소비] 소비 등록
ExpenseUpdateException,API Exception,[소비] 소비 기록 수정
ExpenseUpdateResponseDTO,API Response,[소비] 소비 기록 수정
ExpenseDeleteException,API Exception,[소비] 소비 기록 삭제
CalendarMonthResponseDTO,API Response,[캘린더] 월별 캘린더 조회
CalendarException,API Exception,[캘린더] 월별 캘린더 조회
CalendarDayDetailResponseDTO,API Response,[캘린더] 날짜 상세 조회
CalendarDayException,API Exception,[캘린더] 날짜 상세 조회
MissionListResponseDTO,API Response,[미션] 날짜별 미션 조회
MissionException,API Exception,[미션] 날짜별 미션 조회
MissionCompleteResponseDTO,API Response,[미션] 미션 완료
MissionCompleteException,API Exception,[미션] 미션 완료
PointHistoryResponseDTO,API Response,[포인트] 포인트 내역 조회
PointHistoryException,API Exception,[포인트] 포인트 내역 조회
ShopItemListResponseDTO,API Response,[상점] 아이템 목록 조회
ShopItemException,API Exception,[상점] 아이템 목록 조회
ItemPurchaseResponseDTO,API Response,[상점] 아이템 구매
ItemPurchaseException,API Exception,[상점] 아이템 구매
RoomResponseDTO,API Response,[방] 내 방 조회
RoomException,API Exception,[방] 내 방 조회
InventoryItemListResponseDTO,API Response,[방] 보유 아이템 조회
InventoryException,API Exception,[방] 보유 아이템 조회
ItemApplyResponseDTO,API Response,[방] 아이템 적용
ItemApplyException,API Exception,[방] 아이템 적용
ItemUnapplyResponseDTO,API Response,[방] 아이템 적용 해제
ItemUnapplyException,API Exception,[방] 아이템 적용 해제
MypageResponseDTO,API Response,[마이페이지] 마이페이지 조회
MypageException,API Exception,[마이페이지] 마이페이지 조회
BudgetUpdateResponseDTO,API Response,[마이페이지] 예산 정보 수정
BudgetUpdateException,API Exception,[마이페이지] 예산 정보 수정
NicknameUpdateRequestDTO,API Request,[마이페이지] 닉네임 수정
NicknameUpdateException,API Exception,[마이페이지] 닉네임 수정
NicknameUpdateResponseDTO,API Response,[마이페이지] 닉네임 수정
NotificationUpdateException,API Exception,[마이페이지] 알림 설정 수정
NotificationUpdateRequestDTO,API Request,[마이페이지] 알림 설정 수정
BudgetUpdateRequestDTO,API Request,[마이페이지] 예산 정보 수정
NotificationUpdateResponseDTO,API Response,[마이페이지] 알림 설정 수정
API Request,,
SignupException,API Exception,[인증] 회원가입
,,
,,
